007878;007877;1
007880;003105;3
007882;007881;2
007883;007880;4
007883;007881;4
007888;007887;1
007890;007887;1
007890;007888;2
007898;007897;1
007899;007897;1
007899;007898;1
007914;007913;1
007928;007927;2
007931;007930;1
007967;007897;3
007967;007898;3
007967;007899;3
007974;007972;1
007975;007972;1
007975;007974;2
007976;007972;1
007976;007974;2
007976;007975;1
007977;007972;1
007977;007974;1
007977;007975;1
007977;007976;1
007978;007972;1
007978;007974;1
007978;007975;1
007978;007976;2
007978;007977;1
007980;007979;1
007997;007996;1
007998;007996;1
007998;007997;1
007999;007996;1
007999;007997;1
007999;007998;1
008018;002133;1
008020;002133;2
008020;008018;1
008021;002133;3
008021;008018;2
008021;008020;2
008022;002133;3
008022;008018;2
008022;008020;1
008022;008021;1
008023;002133;2
008023;008018;2
008023;008020;1
008023;008021;1
008023;008022;1
008024;002133;2
008024;008018;1
008024;008020;1
008024;008021;2
008024;008022;1
008024;008023;1
008025;002133;3
008025;008018;2
008025;008020;2
008025;008021;1
008025;008022;1
008025;008023;1
008025;008024;2
008026;002133;2
008026;008018;1
008026;008020;1
008026;008021;2
008026;008022;1
008026;008023;1
008026;008024;1
008026;008025;1
008028;002133;2
008028;008018;1
008028;008020;1
008028;008021;2
008028;008022;1
008028;008023;1
008028;008024;1
008028;008025;2
008028;008026;1
008029;002133;3
008029;008018;2
008029;008020;3
008029;008021;1
008029;008022;2
008029;008023;2
008029;008024;2
008029;008025;1
008029;008026;2
008029;008028;2
008030;002133;3
008030;008018;2
008030;008020;2
008030;008021;1
008030;008022;1
008030;008023;1
008030;008024;2
008030;008025;1
008030;008026;1
008030;008028;2
008030;008029;1
008031;002133;2
008031;008018;1
008031;008020;1
008031;008021;2
008031;008022;1
008031;008023;1
008031;008024;1
008031;008025;1
008031;008026;1
008031;008028;1
008031;008029;2
008031;008030;1
008037;008036;1
008041;008040;1
008051;008050;1
008058;007979;5
008058;007980;5
008059;007979;1
008059;007980;1
008062;007884;5
008068;007885;2
008087;008086;4
008090;008005;2
008094;008093;2
008096;008094;5
008096;008095;1
008100;008099;1
008101;008099;5
008102;008101;1
008104;008103;1
008114;008109;4
008116;008115;1
008120;007996;1
008120;007997;1
008120;007998;1
008120;007999;1
008124;008115;4
008125;008115;5
008125;008124;1
008126;008124;4
008126;008125;4
008127;008124;5
008127;008125;4
008127;008126;1
008128;008106;3
008141;008080;4
008147;008146;1
008148;008036;5
008149;008036;5
008149;008148;1
008153;008152;1
008163;007902;2
008164;002133;2
008164;008018;2
008164;008020;1
008164;008021;2
008164;008022;1
008164;008023;1
008164;008024;1
008164;008025;2
008164;008026;1
008164;008028;1
008164;008029;2
008164;008030;2
008164;008031;2
008165;002133;3
008165;008018;2
008165;008020;2
008165;008021;1
008165;008022;1
008165;008023;1
008165;008024;2
008165;008025;1
008165;008026;1
008165;008028;2
008165;008029;1
008165;008030;1
008165;008031;2
008165;008164;1
008169;008168;1
008174;008082;3
008175;008082;2
008175;008174;1
008206;008054;1
008222;003106;3
008222;008021;3
008222;008022;4
008222;008023;4
008222;008024;5
008222;008025;4
008222;008026;4
008222;008028;5
008222;008029;3
008222;008030;4
008222;008031;5
008222;008164;4
008222;008165;4
008239;008155;5
008240;008155;5
008240;008239;1
008261;008260;1
008265;008155;1
008265;008239;5
008265;008240;5
008267;008094;5
008267;008095;2
008267;008096;1
008270;008269;1
008284;008283;2
008286;008082;2
008286;008174;2
008286;008175;2
008287;008082;2
008287;008174;2
008287;008175;2
008287;008286;1
008319;008318;1
008325;008324;1
008329;008328;1
008331;008330;1
008337;008336;1
008360;008359;1
008379;002138;2
008380;002138;1
008380;008379;2
008381;002138;2
008381;008379;1
008381;008380;2
008382;002133;4
008382;008018;3
008382;008020;3
008382;008021;2
008382;008022;2
008382;008023;2
008382;008024;3
008382;008025;2
008382;008026;3
008382;008028;3
008382;008029;2
008382;008030;2
008382;008031;3
008382;008164;2
008382;008165;2
008382;008222;3
008383;002133;4
008383;003106;5
008383;008018;4
008383;008020;3
008383;008021;2
008383;008022;2
008383;008023;3
008383;008024;3
008383;008025;2
008383;008026;3
008383;008028;3
008383;008029;2
008383;008030;2
008383;008031;3
008383;008164;3
008383;008165;2
008383;008222;2
008383;008382;1
008385;008353;4
008403;008402;1
008404;008198;4
008405;008198;5
008405;008404;1
008407;008406;1
008409;008408;1
008411;008410;1
008412;003105;1
008412;007880;2
008412;007883;5
008414;008155;4
008414;008239;5
008414;008265;5
008417;008067;4
008428;008225;5
008429;008225;4
008429;008428;1
008430;008226;3
008431;008226;2
008431;008430;3
008432;008227;1
008433;008227;4
008433;008432;3
008434;008249;4
008435;008249;2
008435;008434;3
008437;008436;3
008439;008438;1
008442;003106;3
008442;008021;3
008442;008022;4
008442;008023;4
008442;008024;5
008442;008025;4
008442;008026;4
008442;008028;5
008442;008029;3
008442;008030;4
008442;008031;5
008442;008164;4
008442;008165;4
008442;008222;1
008442;008382;2
008442;008383;2
008459;008209;5
008460;008209;5
008460;008459;1
008461;008209;2
008461;008459;5
008461;008460;5
008469;008440;2
008471;008093;2
008471;008094;1
008471;008096;5
008472;008093;1
008472;008094;2
008472;008471;1
008481;008279;1
008490;008076;2
008500;008078;4
008519;008190;2
008521;008191;3
008529;006390;1
008535;008181;1
008544;008189;1
008545;003002;5
008545;008132;3
008546;007887;5
008546;007890;4
008546;008413;2
008560;008559;1
008569;008181;2
008569;008535;1
008587;008377;5
008588;008587;1
008591;008590;1
008593;008005;1
008593;008090;2
008605;008189;4
008605;008544;4
008618;003002;5
008618;008132;2
008618;008545;1
008619;007950;3
008622;007884;2
008622;008062;4
008624;008187;1
008625;008086;2
008625;008087;3
008643;008642;3
008645;008644;2
008647;008646;1
008650;008649;1
008652;008651;1
008670;008562;5
008680;007177;1
008681;008262;2
008685;008684;1
008691;008170;1
008694;008085;4
008696;007887;3
008696;007888;3
008696;007890;2
008696;008546;4
008697;008186;1
008702;008501;1
008708;008644;4
008724;008617;5
008725;003002;2
008725;008132;5
008725;008545;3
008725;008618;3
008731;008003;1
008737;008736;1
008740;008005;5
